xdate,temp,press,rain_1h,windspeed,windgust,snow_1h
2023-04-26 13:44:17+00:00,8.4,999,0,6.17,,0
2023-04-26 13:48:55+00:00,8.3,999,0,6.17,,0
2023-04-26 13:49:32+00:00,8.3,999,0,6.17,,0
2023-04-26 14:39:11+00:00,9.2,999,0,4.63,,0
2023-04-26 14:47:20+00:00,9.2,999,0,4.63,,0
2023-04-26 14:49:40+00:00,9.2,999,0,4.63,,0
2023-04-26 14:50:49+00:00,9.2,999,0,4.63,,0
2023-04-26 14:51:18+00:00,9.2,999,0,4.63,,0
2023-04-26 14:51:46+00:00,9.2,999,0,4.63,,0
2023-04-26 14:53:44+00:00,9.2,999,0,4.63,,0
2023-04-26 14:54:49+00:00,9.2,999,0,4.63,,0
2023-04-26 14:56:02+00:00,9.2,999,0,4.63,,0
2023-04-26 14:57:07+00:00,9.2,999,0,4.63,,0
2023-04-26 14:57:24+00:00,9.2,999,0,4.63,,0
2023-04-26 14:58:08+00:00,9.2,999,0,4.63,,0
2023-04-26 14:58:44+00:00,9.2,999,0,4.63,,0
2023-04-26 15:03:50+00:00,9.2,999,0,4.63,,0
2023-04-26 15:04:47+00:00,9.2,999,0,4.63,,0
2023-04-26 15:09:48+00:00,9.3,999,0,4.63,,0
2023-04-26 15:14:48+00:00,9.3,999,0,4.63,,0
2023-04-26 15:19:48+00:00,9.4,999,0,4.63,,0
2023-04-26 15:24:48+00:00,9.4,999,0,4.63,,0
2023-04-26 15:29:47+00:00,9.3,999,0,4.63,,0
2023-04-26 15:34:47+00:00,9.3,999,0,5.14,,0
2023-04-26 15:39:48+00:00,9.3,999,0,5.14,,0
2023-04-26 15:44:48+00:00,9.2,999,0,5.14,,0
